Size, Boost Windows Threads Time, Boost OpenMP Time
600,1.66221,1.45359
Size, Boost Windows Threads Time, Boost OpenMP Time
840,2.23286,1.85298
Size, Boost Windows Threads Time, Boost OpenMP Time
984,1.94808,1.84304
Size, Boost Windows Threads Time, Boost OpenMP Time
1128,2.07429,2.1472
Size, Boost Windows Threads Time, Boost OpenMP Time
1488,1.89357,1.97613
Size, Boost Windows Threads Time, Boost OpenMP Time
1992,1.59437,1.83543
